Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2020,-0.079,1.0,No loss,37.0,0.189,0.135,1.4
2021,-0.049,1.0,No loss,35.0,0.48,0.153,3.14
