Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2020,-0.07,0.5,5.899,38.5,0.177,0.171,1.038
2021,-0.072,0.875,0.54,16.75,0.245,0.151,1.629
