Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2019,-0.075,0.444,2.245,22.333,0.048,0.063,0.769
2020,-0.026,0.667,2.368,8.167,0.163,0.073,2.251
2021,-0.099,0.455,1.071,12.727,-0.023,0.093,-0.246
