,value,signal,price
2019/5/6,1.059048727,0,13925
2019/5/7,1.059048727,0,14010
2019/5/8,1.059048727,0,14045
2019/5/9,1.059048727,0,14005
2019/5/10,1.059048727,0,14170
2019/5/13,1.059048727,0,14225
2019/5/14,1.059048727,0,14190
2019/5/15,1.059048727,0,14335
2019/5/16,1.059048727,0,14355
2019/5/17,1.059048727,0,14310
2019/5/20,1.059048727,0,14285
2019/5/21,1.059048727,0,14250
2019/5/22,1.059048727,0,14125
2019/5/23,1.059048727,0,14110
2019/5/24,1.059048727,0,14240
2019/5/27,1.059048727,0,14310
2019/5/28,1.059048727,0,14240
2019/5/29,1.059048727,0,14170
2019/5/30,1.059048727,0,14140
2019/5/31,1.059048727,0,14155
2019/6/3,1.059048727,0,14125
2019/6/4,1.059048727,0,14030
2019/6/5,1.059048727,0,14085
2019/6/6,1.059048727,0,13950
2019/6/7,1.059048727,0,13950
2019/6/10,1.059048727,0,13940
2019/6/11,1.059048727,0,14035
2019/6/12,1.059048727,0,13980
2019/6/13,1.059048727,0,13995
2019/6/14,1.059048727,0,13935
2019/6/17,1.059048727,0,13855
2019/6/18,1.059048727,0,13810
2019/6/19,1.059048727,0,13865
2019/6/20,1.059048727,0,13910
2019/6/21,1.059048727,0,13765
2019/6/24,1.059048727,0,13830
2019/6/25,1.059048727,0,13910
2019/6/26,1.059048727,0,13910
2019/6/27,1.059048727,0,13900
2019/6/28,1.059048727,0,13830
2019/6/30,1.059048727,-1,13830
2019/7/1,1.064855171,-1,13750
2019/7/2,1.067758393,-1,13710
2019/7/3,1.072113226,-1,13650
2019/7/4,1.063040657,-1,13775
2019/7/5,1.061951949,-1,13790
2019/7/8,1.06340356,-1,13770
2019/7/9,1.065218073,-1,13745
2019/7/10,1.060137435,-1,13815
2019/7/11,1.06086324,-1,13805
2019/7/12,1.06340356,-1,13770
2019/7/15,1.056508407,-1,13865
2019/7/16,1.055056796,-1,13885
2019/7/17,1.056508407,-1,13865
2019/7/18,1.056145505,-1,13870
2019/7/19,1.051427769,-1,13935
2019/7/22,1.05687131,-1,13860
2019/7/23,1.064855171,-1,13750
2019/7/24,1.061951949,-1,13790
2019/7/25,1.054693894,-1,13890
2019/7/26,1.055782602,0,13875
2019/7/29,1.055782602,0,13880
2019/7/30,1.055782602,0,13930
2019/7/31,1.055782602,0,13895
2019/8/1,1.055782602,0,13855
2019/8/2,1.055782602,0,13795
2019/8/5,1.055782602,0,13880
2019/8/6,1.055782602,0,13865
2019/8/7,1.055782602,0,13805
2019/8/8,1.055782602,0,13885
2019/8/9,1.055782602,0,13910
2019/8/12,1.055782602,0,14185
2019/8/13,1.055782602,0,14200
2019/8/14,1.055782602,0,14175
2019/8/15,1.055782602,0,14200
2019/8/16,1.055782602,0,14170
2019/8/19,1.055782602,0,14395
2019/8/20,1.055782602,0,14335
2019/8/21,1.055782602,0,14335
2019/8/22,1.055782602,0,14340
2019/8/23,1.055782602,0,14285
2019/8/26,1.055782602,0,14215
2019/8/27,1.055782602,0,14250
2019/8/28,1.055782602,0,14290
2019/8/29,1.055782602,0,14225
2019/8/30,1.055782602,0,14260
2019/8/31,1.055782602,1,14260
2019/9/2,1.062747398,1,14355
2019/9/3,1.059448284,1,14310
2019/9/4,1.062747398,1,14355
2019/9/5,1.060914557,1,14330
2019/9/6,1.065679943,1,14395
2019/9/9,1.067512784,1,14420
2019/9/10,1.062747398,1,14355
2019/9/11,1.067146216,1,14415
2019/9/12,1.067879353,1,14425
2019/9/13,1.067879353,1,14425
2019/9/16,1.057248875,1,14280
2019/9/17,1.054316329,1,14240
2019/9/18,1.052483488,1,14215
2019/9/19,1.046618397,1,14135
2019/9/20,1.053216625,1,14225
2019/9/23,1.052483488,1,14215
2019/9/24,1.04808467,1,14155
2019/9/25,1.044785556,1,14110
2019/9/26,1.039653601,1,14040
2019/9/27,1.034888215,0,13975
2019/9/30,1.034888215,0,14015
2019/10/4,1.034888215,0,14015
2019/10/8,1.034888215,0,13960
2019/10/9,1.034888215,0,13925
2019/10/10,1.034888215,0,13920
2019/10/11,1.034888215,0,13790
2019/10/14,1.034888215,0,13755
2019/10/15,1.034888215,0,13790
2019/10/16,1.034888215,0,13835
2019/10/17,1.034888215,0,13835
2019/10/18,1.034888215,0,13850
2019/10/21,1.034888215,0,13760
2019/10/22,1.034888215,0,13795
2019/10/23,1.034888215,0,13790
2019/10/24,1.034888215,0,13825
2019/10/25,1.034888215,0,13805
2019/10/28,1.034888215,0,13825
2019/10/29,1.034888215,0,13785
2019/10/30,1.034888215,0,13845
2019/10/31,1.034888215,1,13840
2019/11/1,1.03748983,1,13875
2019/11/4,1.042693062,1,13945
2019/11/5,1.0441797,1,13965
2019/11/6,1.043436381,1,13955
2019/11/7,1.045294678,1,13980
2019/11/8,1.049011273,1,14030
2019/11/11,1.038976468,1,13895
2019/11/12,1.033029917,1,13815
2019/11/13,1.032286599,1,13805
2019/11/14,1.032286599,1,13805
2019/11/15,1.033773236,1,13825
2019/11/18,1.03154328,1,13795
2019/11/19,1.027455026,1,13740
2019/11/20,1.030428301,1,13780
2019/11/21,1.036746512,1,13865
2019/11/22,1.036003193,1,13855
2019/11/25,1.032286599,1,13805
2019/11/26,1.028570004,1,13755
2019/11/27,1.027083367,1,13735
2019/11/28,1.032658258,0,13810
2019/11/29,1.032658258,0,13885
2019/11/30,1.032658258,0,13885
2019/12/2,1.032658258,0,13950
2019/12/3,1.032658258,0,13945
2019/12/4,1.032658258,0,13970
2019/12/5,1.032658258,0,13930
2019/12/6,1.032658258,0,13840
2019/12/9,1.032658258,0,13935
2019/12/10,1.032658258,0,13990
2019/12/11,1.032658258,0,14000
2019/12/12,1.032658258,0,13955
2019/12/13,1.032658258,0,13945
2019/12/16,1.032658258,0,13915
2019/12/17,1.032658258,0,14015
2019/12/18,1.032658258,0,14100
2019/12/19,1.032658258,0,14200
2019/12/20,1.032658258,0,14175
2019/12/23,1.032658258,0,14185
2019/12/24,1.032658258,0,14235
2019/12/25,1.032658258,0,14235
2019/12/26,1.032658258,0,14055
2019/12/27,1.032658258,0,14075
2019/12/30,1.032658258,0,14090
2019/12/31,1.032658258,0,14110
2020/1/2,1.032658258,0,14090
2020/1/3,1.032658258,0,14085
2020/1/6,1.032658258,0,14105
2020/1/7,1.032658258,0,14070
2020/1/8,1.032658258,0,14155
