Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2018,-0.018,1.0,No loss,36.0,0.132,0.087,1.526
2019,-0.042,0.2,3.63826013647365,32.6,-0.003,0.049,-0.068
2020,-0.065,0.8,4.266153362274084,33.8,0.267,0.101,2.641
2021,-0.055,0.667,25.691666666666414,30.667,0.312,0.122,2.558
