Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2019,-0.01,1.0,No loss,31.0,0.774,0.136,5.704
2020,-0.079,0.625,1.5130196705406387,16.25,0.321,0.264,1.213
2021,-0.099,0.7,1.248585566486062,18.4,0.216,0.149,1.444
