Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2020,-0.096,0.5,0.945,10.5,-0.024,0.318,-0.077
2021,-0.157,0.75,1.02,8.562,0.541,0.27,2.004
