Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2019,-0.097,0.75,2.369,38.75,0.062,0.157,0.396
2020,-0.318,0.714,0.439,30.143,-0.009,0.313,-0.03
2021,-0.128,0.8,4.265,31.6,0.422,0.242,1.746
