Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2020,-0.105,1.0,No loss,30.25,0.918,0.261,3.518
2021,-0.06,0.5,0.9055489074492724,29.5,-0.002,0.082,-0.027
