Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2020,-0.053,0.714,2.112,28.714,0.304,0.127,2.387
2021,-0.127,0.5,3.704,16.125,0.306,0.191,1.603
