date,close,铁矿：发货量：FMG→中国（周）,铁矿：发货量：力拓→中国（周）,铁矿：发货量：巴西：淡水河谷（周）,铁矿：发货量：BHP→中国（周）,铁矿：出口数量合计：中国（月）,铁矿：出口金额合计：中国（月）,铁矿：进口数量合计：中国（月）,铁矿：进口金额合计：中国（月）,烧结用矿粉：出口数量合计：中国（月）,烧结用矿粉：出口金额合计：中国（月）,烧结用矿粉：进口数量合计：中国（月）,烧结用矿粉：进口金额合计：中国（月）,块矿：出口数量合计：中国（月）,块矿：出口金额合计：中国（月）,块矿：进口数量合计：中国（月）,块矿：进口金额合计：中国（月）,已烧结的铁矿砂及其精矿：出口数量合计：中国（月）,已烧结的铁矿砂及其精矿：出口金额合计：中国（月）,已烧结的铁矿砂及其精矿：进口数量合计：中国（月）,已烧结的铁矿砂及其精矿：进口金额合计：中国（月）,铁精粉：出口数量合计：中国（月）,铁精粉：出口金额合计：中国（月）,铁精粉：进口数量合计：中国（月）,铁精粉：进口金额合计：中国（月）,未烧结的铁矿砂及其精矿：出口数量合计：中国（月）,未烧结的铁矿砂及其精矿：出口金额合计：中国（月）,未烧结的铁矿砂及其精矿：进口数量合计：中国（月）,未烧结的铁矿砂及其精矿：进口金额合计：中国（月）,铁矿：进口数量初值：中国（月）,铁矿：进口金额初值：美元：中国（月）,铁矿：进口数量终值同比：中国（月）,铁矿：进口金额终值同比：美元：中国（月）,铁矿：进口数量终值：中国（月）,126家矿山企业（266座矿山）：铁精粉：产量：中国（周）,铁矿：采剥掘量合计：重点企业（月）,成品铁矿石：产量：重点企业（月）,铁精矿：产量：重点企业（月）,铁矿：产量：重点企业（月）,统计局：中国：工业产品：产量：原矿（月）,铁矿：进口：日均疏港量合计：45个港口（周）,铁矿：现货日均成交量合计：贸易商：中国主要港口（周）,烧结用矿粉：国产：库存：64家钢厂（周）,烧结用矿粉：进口：库存消费比：64家钢厂（周）,铁矿：进口：平均可用天数：64家钢厂（周）,铁矿：进口：库存：45个港口（日）,铁精粉：库存：45个港口（周）,球团：进口：库存：45个港口（周）,块矿：库存：45个港口（周）,粗粉：进口：库存：45个港口（周）,铁矿：澳大利亚产：库存：45个港口（周）,铁矿：巴西产：库存：45个港口（周）,贸易矿：进口：库存：45个港口（周）
2018/1/25,529.5,352.9,404.3,523.5,424.3,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.2,8956.31,879.31,856.29,2697.27,10922.4,251.85,70,73.02,35.48,34,15360.86,631,211,2151,12367.86,8529.56,3647.64,5753.4
2018/1/26,519,361.9,494.5,602,517.3,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.6,8956.31,879.31,856.29,2697.27,10922.4,274.53,79.1,73.02,35.48,34,15182.2,744,199,2167,12072.2,8429.25,3676.27,5736.43
2018/1/29,514.5,361.9,494.5,602,517.3,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.6,8956.31,879.31,856.29,2697.27,10922.4,274.53,79.1,73.02,35.48,34,15182.2,744,199,2167,12072.2,8429.25,3676.27,5736.43
2018/1/30,517.5,361.9,494.5,602,517.3,871357.491,57921723,84140163.56,5463700834,871141.991,57875456,61065696.27,3685425971,215,45717,15312889.22,1112662799,0,0,1642210.443,190060249,0.5,550,6119367.621,475551815,871357.491,57921723,82497953.11,5273640585,8414,5463.7,-5.3,-12.2,8414,38.6,8956.31,879.31,856.29,2697.27,10922.4,274.53,79.1,73.02,35.48,34,15182.2,744,199,2167,12072.2,8429.25,3676.27,5736.43
2018/1/31,510,361.9,494.5,602,517.3,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,38.6,7550.23,897.51,882.82,2434.45,10922.4,274.53,79.1,73.02,35.48,34,15182.2,744,199,2167,12072.2,8429.25,3676.27,5736.43
2018/2/1,506.5,361.9,494.5,602,517.3,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,38.6,7550.23,897.51,882.82,2434.45,10922.4,274.53,79.1,73.02,35.48,34,15182.2,744,199,2167,12072.2,8429.25,3676.27,5736.43
2018/2/2,513.5,310.7,505.9,515.3,371.5,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,38.6,7550.23,897.51,882.82,2434.45,10922.4,274.63,72.7,78.9,37.1,35,15142.8,665,228,2063,12186.8,8488.39,3647.64,5742.09
2018/2/5,526.5,310.7,505.9,515.3,371.5,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,38.6,7550.23,897.51,882.82,2434.45,10922.4,274.63,72.7,78.9,37.1,35,15142.8,665,228,2063,12186.8,8488.39,3647.64,5742.09
2018/2/6,521,310.7,505.9,515.3,371.5,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,38.6,7550.23,897.51,882.82,2434.45,10922.4,274.63,72.7,78.9,37.1,35,15142.8,665,228,2063,12186.8,8488.39,3647.64,5742.09
2018/2/7,526.5,310.7,505.9,515.3,371.5,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,38.6,7550.23,897.51,882.82,2434.45,10922.4,274.63,72.7,78.9,37.1,35,15142.8,665,228,2063,12186.8,8488.39,3647.64,5742.09
2018/2/8,524,310.7,505.9,515.3,371.5,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,38.6,7550.23,897.51,882.82,2434.45,10922.4,274.63,72.7,78.9,37.1,35,15142.8,665,228,2063,12186.8,8488.39,3647.64,5742.09
2018/2/9,523.5,197.5,498.7,366,486.6,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,37.2,7550.23,897.51,882.82,2434.45,10922.4,309.09,56.5,78.9,37.1,35,15238.1,666,215,2214,12143.1,8545.91,3636.2,5740.04
2018/2/12,523,197.5,498.7,366,486.6,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,37.2,7550.23,897.51,882.82,2434.45,10922.4,309.09,56.5,78.9,37.1,35,15238.1,666,215,2214,12143.1,8545.91,3636.2,5740.04
2018/2/13,529,197.5,498.7,366,486.6,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,37.2,7550.23,897.51,882.82,2434.45,10922.4,309.09,56.5,78.9,37.1,35,15238.1,666,215,2214,12143.1,8545.91,3636.2,5740.04
2018/2/14,539.5,197.5,498.7,366,486.6,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,37.2,7550.23,897.51,882.82,2434.45,10922.4,309.09,56.5,78.9,37.1,35,15238.1,666,215,2214,12143.1,8545.91,3636.2,5740.04
2018/2/22,538.5,229.4,450.8,363.9,420.7,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,37.2,7550.23,897.51,882.82,2434.45,10922.4,309.09,56.5,78.9,37.1,35,15238.1,666,215,2214,12143.1,8545.91,3636.2,5740.04
2018/2/23,548.5,399,510.5,595.8,464.8,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,37.2,7550.23,897.51,882.82,2434.45,10922.4,196.69,66.7,67.05,30.4,27,15748,666,215,2214,12143.1,8545.91,3636.2,5740.04
2018/2/26,549,399,510.5,595.8,464.8,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,37.2,7550.23,897.51,882.82,2434.45,10922.4,196.69,66.7,67.05,30.4,27,15748,666,215,2214,12143.1,8545.91,3636.2,5740.04
2018/2/27,546.5,399,510.5,595.8,464.8,641124.493,47691266,100446798.7,7519925307,640458.643,47198573,70527383.2,4943856987,215,45717,18836214.04,1497306077,0,0,2236352.307,272523759,665.85,492693,8846849.17,806238484,641124.493,47691266,98210446.41,7247401548,10034.3,6912.3,9.3,-4.7,10034,37.2,7550.23,897.51,882.82,2434.45,10922.4,196.69,66.7,67.05,30.4,27,15748,666,215,2214,12143.1,8545.91,3636.2,5740.04
2018/2/28,543,399,510.5,595.8,464.8,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.2,7340.28,874.52,858.69,2695.37,10922.4,196.69,66.7,67.05,30.4,27,15748,666,215,2214,12143.1,8545.91,3636.2,5740.04
2018/3/1,544.5,399,510.5,595.8,464.8,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.2,7340.28,874.52,858.69,2695.37,10922.4,196.69,66.7,67.05,30.4,27,15748,666,215,2214,12143.1,8545.91,3636.2,5740.04
2018/3/2,539,307.3,589,631.3,476.7,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.1,7340.28,874.52,858.69,2695.37,10922.4,289.07,69.9,67.05,30.4,27,15956.2,694,212,2213,12837.2,9118.63,3690.42,5951.78
2018/3/5,520,307.3,589,631.3,476.7,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.1,7340.28,874.52,858.69,2695.37,10922.4,289.07,69.9,67.05,30.4,27,15956.2,694,212,2213,12837.2,9118.63,3690.42,5951.78
2018/3/6,520.5,307.3,589,631.3,476.7,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.1,7340.28,874.52,858.69,2695.37,10922.4,289.07,69.9,67.05,30.4,27,15956.2,694,212,2213,12837.2,9118.63,3690.42,5951.78
2018/3/7,517.5,307.3,589,631.3,476.7,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.1,7340.28,874.52,858.69,2695.37,10922.4,289.07,69.9,67.05,30.4,27,15956.2,694,212,2213,12837.2,9118.63,3690.42,5951.78
2018/3/8,500.5,307.3,589,631.3,476.7,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.1,7340.28,874.52,858.69,2695.37,10922.4,289.07,69.9,67.05,30.4,27,15956.2,694,212,2213,12837.2,9118.63,3690.42,5951.78
2018/3/9,483.5,233.3,524.8,545,508.4,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.1,7340.28,874.52,858.69,2695.37,10922.4,268.84,59.7,69.35,31.14,28,15832.17,656.97,210.47,2301.02,12663.71,9175.88,3577.61,6045.7
2018/3/12,479,233.3,524.8,545,508.4,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.1,7340.28,874.52,858.69,2695.37,10922.4,268.84,59.7,69.35,31.14,28,15832.17,656.97,210.47,2301.02,12663.71,9175.88,3577.61,6045.7
2018/3/13,479,233.3,524.8,545,508.4,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.1,7340.28,874.52,858.69,2695.37,10922.4,268.84,59.7,69.35,31.14,28,15832.17,656.97,210.47,2301.02,12663.71,9175.88,3577.61,6045.7
2018/3/14,490,233.3,524.8,545,508.4,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.1,7340.28,874.52,858.69,2695.37,10922.4,268.84,59.7,69.35,31.14,28,15832.17,656.97,210.47,2301.02,12663.71,9175.88,3577.61,6045.7
2018/3/15,490,233.3,524.8,545,508.4,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.1,7340.28,874.52,858.69,2695.37,10922.4,268.84,59.7,69.35,31.14,28,15832.17,656.97,210.47,2301.02,12663.71,9175.88,3577.61,6045.7
2018/3/16,483.5,358.4,512.8,534.9,474.7,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.7,7340.28,874.52,858.69,2695.37,10922.4,249.83,54.2,69.35,31.14,28,15972.59,685.5,203.15,2349.8,12734.14,9237.47,3565.51,6199.99
2018/3/19,462.5,358.4,512.8,534.9,474.7,775109.424,59399883,84197525.58,6459784472,721370.424,49756001,58480653.36,4219747416,23,39714,16021500.92,1289275860,53151,9194686,1790192.821,224330622,565,409482,7905178.471,726430574,721958.424,50205197,82407332.76,6235453850,8426.8,6197.9,1,-8.5,8427,37.7,7340.28,874.52,858.69,2695.37,10922.4,249.83,54.2,69.35,31.14,28,15972.59,685.5,203.15,2349.8,12734.14,9237.47,3565.51,6199.99
