Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2020,-0.024,0.5,107.017,28.0,0.095,0.082,1.163
2021,-0.089,0.833,2.827,19.5,0.393,0.142,2.772
