Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2019,-0.062,1.0,No loss,29.333,0.367,0.128,2.857
2020,-0.084,1.0,No loss,28.4,0.384,0.181,2.121
2021,-0.074,1.0,No loss,23.75,0.366,0.163,2.249
