Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2020,-0.036,1.0,No loss,31.0,4.803,0.262,18.315
2021,-0.071,1.0,No loss,21.333,0.357,0.172,2.079
