Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2016,-0.071,1.0,No loss,36.25,0.443,0.173,2.564
2017,-0.062,1.0,No loss,28.2,0.404,0.134,3.01
2018,-0.046,1.0,No loss,25.6,0.152,0.116,1.309
2019,-0.218,0.4,0.35198369620665443,24.8,-0.118,0.122,-0.97
2020,-0.128,1.0,No loss,35.5,0.217,0.165,1.312
2021,-0.103,0.6,1.5308799641005264,39.4,0.081,0.184,0.443
