Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2019,-0.046,0.333,1.1280358406036328,42.333,-0.009,0.095,-0.096
2020,-0.068,0.667,3.877401431856718,31.0,0.11,0.089,1.233
2021,-0.044,1.0,No loss,22.25,0.09,0.067,1.335
