Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2020,-0.033,1.0,No loss,56.0,1.19,0.205,5.798
2021,-0.078,0.857,1.7397166873230578,25.0,0.809,0.198,4.081
