Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2016,-0.048,1.0,No loss,29.0,0.43,0.171,2.511
2017,-0.139,0.4,1.2972989303719626,29.0,-0.013,0.177,-0.075
2018,-0.126,0.333,3.4963036353991237,37.333,0.073,0.146,0.499
2019,-0.052,1.0,No loss,59.0,0.147,0.124,1.192
2020,-0.113,0.75,4.7446235003910076,28.5,0.233,0.183,1.273
2021,-0.129,0.5,0.572845383293158,18.25,0.006,0.178,0.032
