Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2019,-0.063,0.667,2.3483795078196836,31.0,0.029,0.101,0.289
2020,-0.122,0.0,,30.333,-0.042,0.114,-0.369
2021,-0.065,1.0,No loss,45.5,0.512,0.197,2.595
