date,close,苹果：批发市场：交易数量（周）,苹果：批发市场：日均交易量（周）,苹果：冷库：出货量：中国（周）,苹果：冷库：库存：中国（周）
"2018-04-09","7319","","","",""
"2018-04-10","7313","","","",""
"2018-04-11","7324","","","",""
"2018-04-12","7083","","","",""
"2018-04-13","7163","","","45.6","428.028"
"2018-04-16","7153","","","",""
"2018-04-17","7116","","","",""
"2018-04-18","7164","","","",""
"2018-04-19","7156","","","",""
"2018-04-20","7174","","","39.0592","388.9688"
"2018-04-23","7502","","","",""
"2018-04-24","7528","","","",""
"2018-04-25","7495","","","",""
"2018-04-26","7758","","","",""
"2018-04-27","7773","","","37.2356","351.7332"
"2018-05-02","7937","","","",""
"2018-05-03","7944","","","",""
"2018-05-04","7832","","","36.5961","315.1371"
"2018-05-07","7861","","","",""
"2018-05-08","8066","","","",""
"2018-05-09","8095","","","",""
"2018-05-10","8081","","","",""
"2018-05-11","8142","","","25.5118","289.6253"
"2018-05-14","8486","","","",""
"2018-05-15","8994","","","",""
"2018-05-16","8902","","","",""
"2018-05-17","9048","","","",""
"2018-05-18","9149","","","29.34","260.2853"
"2018-05-21","9137","","","",""
"2018-05-22","9408","","","",""
"2018-05-23","9238","","","",""
"2018-05-24","9140","","","",""
"2018-05-25","9219","","","22.4138","237.8716"
"2018-05-28","9086","","","",""
"2018-05-29","9294","","","",""
"2018-05-30","9275","","","",""
"2018-05-31","9307","","","",""
"2018-06-01","9399","","","17.1355","220.7361"
"2018-06-04","9347","","","",""
"2018-06-05","9140","","","",""
"2018-06-06","9135","","","",""
"2018-06-07","9123","","","",""
"2018-06-08","8657","","","18.0895","202.6466"
"2018-06-11","8734","","","",""
"2018-06-12","9135","","","",""
"2018-06-13","9593","","","",""
"2018-06-14","9611","","","",""
"2018-06-15","9941","","","12.73","189.9166"
"2018-06-19","10012","","","",""
"2018-06-20","9650","","","",""
"2018-06-21","9196","","","",""
"2018-06-22","9579","","","16.8597","173.0569"
"2018-06-25","9373","","","",""
"2018-06-26","9340","","","",""
"2018-06-27","9295","","","",""
"2018-06-28","9483","","","",""
"2018-06-29","9684","","","9.3223","163.7346"
"2018-07-02","9397","","","",""
"2018-07-03","9543","","","",""
"2018-07-04","9415","","","",""
"2018-07-05","9330","","","",""
"2018-07-06","9373","","","9.0818","154.6529"
"2018-07-09","9487","","","",""
"2018-07-10","9465","","","",""
"2018-07-11","9460","","","",""
"2018-07-12","9364","","","",""
"2018-07-13","9314","","","5.1792","149.4737"
"2018-07-16","9247","","","",""
"2018-07-17","9770","","","",""
"2018-07-18","9809","","","",""
"2018-07-19","10323","","","",""
"2018-07-20","10379","","","5.6317","143.842"
"2018-07-23","10215","","","",""
"2018-07-24","10285","","","",""
"2018-07-25","10257","","","",""
"2018-07-26","10343","","","",""
"2018-07-27","10351","","","5.9132","137.9288"
"2018-07-30","10461","","","",""
"2018-07-31","10707","","","",""
"2018-08-01","10671","","","",""
"2018-08-02","10712","","","",""
"2018-08-03","10985","","","15.88","122.0488"
"2018-08-06","11475","","","",""
"2018-08-07","11255","","","",""
"2018-08-08","11307","","","",""
"2018-08-09","11130","","","",""
