date,close,苯乙烯：表观消费量环比：中国（月）,苯乙烯：表观消费量同比：中国（月）,苯乙烯：产量同比：中国（周）,苯乙烯：产量：中国（周）,苯乙烯：检修减损量：中国（月）,苯乙烯：开工率：中国（日）,苯乙烯：产能：中国（日）,苯乙烯：产能：中国企业（月）,苯乙烯：表观消费量：中国（月）,苯乙烯：中国企业：产量：新口径（月）,苯乙烯：样本工厂：库存：中国（周）
"2018-06-17","","","","","","","79.35","27245","","","",""
"2018-06-18","","","","","","","81.46","27245","","","",""
"2018-06-19","","","","","","","77.79","27245","","","",""
"2018-06-20","","","","","","","77.79","27245","","","",""
"2018-06-21","","","","","","","77.79","27245","","","",""
"2018-06-22","","","","","","","80.91","27245","","","",""
"2018-06-23","","","","","","","81.46","27245","","","",""
"2018-06-24","","","","","","","82.38","27245","","","",""
"2018-06-25","","","","","","","83.66","27245","","","",""
"2018-06-26","","","","","","","83.66","27245","","","",""
"2018-06-27","","","","","","","83.66","27245","","","",""
"2018-06-28","","","","","","","83.66","27245","","","",""
"2018-06-29","","","","","141480.87","","83.66","27245","","","",""
"2018-06-30","","","7.34","","","","84.55","27245","815800","85.6921371","617551.5",""
"2018-07-01","","","","","","","84.67","27245","","","",""
"2018-07-02","","","","","","","84.67","27245","","","",""
"2018-07-03","","","","","","","84.67","27245","","","",""
"2018-07-04","","","","","","","84.67","27245","","","",""
"2018-07-05","","","","","","","84.67","27245","","","",""
"2018-07-06","","","","","144433.83","","84.67","27245","","","",""
"2018-07-07","","","","","","","84.67","27245","","","",""
"2018-07-08","","","","","","","84.67","27245","","","",""
"2018-07-09","","","","","","","84.67","27245","","","",""
"2018-07-10","","","","","","","84.67","27245","","","",""
"2018-07-11","","","","","","","84.67","27245","","","",""
"2018-07-12","","","","","","","84.67","27245","","","",""
"2018-07-13","","","","","144618.95","","84.67","27245","","","",""
"2018-07-14","","","","","","","84.67","27245","","","",""
"2018-07-15","","","","","","","84.67","27245","","","",""
"2018-07-16","","","","","","","84.67","27245","","","",""
"2018-07-17","","","","","","","84.67","27245","","","",""
"2018-07-18","","","","","","","86.25","27245","","","",""
"2018-07-19","","","","","","","86.22","27245","","","",""
"2018-07-20","","","","","145478.95","","86.25","27245","","","",""
"2018-07-21","","","","","","","85.13","27245","","","",""
"2018-07-22","","","","","","","84.16","27245","","","",""
"2018-07-23","","","","","","","82.93","27245","","","",""
"2018-07-24","","","","","","","83.9","27245","","","",""
"2018-07-25","","","","","","","85.02","27245","","","",""
"2018-07-26","","","","","","","85.02","27245","","","",""
"2018-07-27","","","","","146287.15","","85.02","27245","","","",""
"2018-07-28","","","","","","","85.02","27245","","","",""
"2018-07-29","","","","","","","85.02","27245","","","",""
"2018-07-30","","","","","","","85.5","27245","","","",""
"2018-07-31","","","13.71","","","","85.5","27245","844595","94.3457325","716655.35",""
"2018-08-01","","","","","","","87.1","27245","","","",""
"2018-08-02","","","","","","","87.17","27245","","","",""
"2018-08-03","","","","","146694.14","","87.17","27245","","","",""
"2018-08-04","","","","","","","87.17","27245","","","",""
"2018-08-05","","","","","","","87.17","27245","","","",""
"2018-08-06","","","","","","","87.17","27245","","","",""
"2018-08-07","","","","","","","87.17","27245","","","",""
"2018-08-08","","","","","","","87.17","27245","","","",""
"2018-08-09","","","","","","","87.17","27245","","","",""
"2018-08-10","","","","","149387.49","","87.17","27245","","","",""
"2018-08-11","","","","","","","86.89","28026","","","",""
"2018-08-12","","","","","","","86.89","28026","","","",""
"2018-08-13","","","","","","","86.89","28026","","","",""
"2018-08-14","","","","","","","86.89","28026","","","",""
"2018-08-15","","","","","","","86.89","28026","","","",""
"2018-08-16","","","","","","","86.89","28026","","","",""
"2018-08-17","","","","","169854.27","","86.89","28026","","","",""
"2018-08-18","","","","","","","86.89","28026","","","",""
"2018-08-19","","","","","","","86.89","28026","","","",""
"2018-08-20","","","","","","","86.89","28026","","","",""
"2018-08-21","","","","","","","85.72","28026","","","",""
"2018-08-22","","","","","","","85.72","28026","","","",""
"2018-08-23","","","","","","","85.72","28026","","","",""
"2018-08-24","","","","","169472.46","","85.72","28026","","","",""
"2018-08-25","","","","","","","85.72","28026","","","",""
"2018-08-26","","","","","","","85.58","28026","","","",""
"2018-08-27","","","","","","","86.22","28026","","","",""
"2018-08-28","","","","","","","86.22","28026","","","",""
"2018-08-29","","","","","","","86.22","28026","","","",""
"2018-08-30","","","","","","","86.22","28026","","","",""
"2018-08-31","","","3.44","","168683.38","","86.22","28026","860996","101.7058684","745909.14",""
"2018-09-01","","","","","","","86.22","28026","","","",""
"2018-09-02","","","","","","","86.22","28026","","","",""
"2018-09-03","","","","","","","86.22","28026","","","",""
"2018-09-04","","","","","","","86.22","28026","","","",""
