date,close,PVC：产量：中国（日）,PVC：地方企业：产能利用率：中国（周）,PVC：电石法：开工率：中国（周）,PVC：乙烯法：开工率：中国（周）,PVC：表观消费量：中国（月）,PVC：成交量：中国（日）,PVC：看跌比例：中国（周）,PVC：看升比例：中国（周）,PVC：预售量：中国（周）,PVC：社会库存：中国（周）,PVC型材：开工率：中国（周）,PVC管材：开工率：中国（周）,PVC糊树脂：产量：中国（月）,碳化钙：平均开工率：中国企业（周）,碳化钙：产量：中国（周）,碳化钙：检修减损量：中国（周）
"2016-01-19","4740","","","","","","","","","","","","","","","",""
"2016-01-20","4715","","","","","","","","","","","","","","","",""
"2016-01-21","4700","","","","","","","","","","","","","","","",""
"2016-01-22","4775","","73.4","","","","","","","","18.5","","","","","",""
"2016-01-25","4830","","","","","","","","","","","","","","","",""
"2016-01-26","4785","","","","","","","","","","","","","","","",""
"2016-01-27","4815","","","","","","","","","","","","","","","",""
"2016-01-28","4815","","","","","","","","","","","","","","","",""
"2016-01-29","4865","","73.4","","","","","","","","18","","","","","",""
"2016-02-01","4860","","","","","","","","","","","","","","","",""
"2016-02-02","4870","","","","","","","","","","","","","","","",""
"2016-02-03","4880","","","","","","","","","","","","","","","",""
"2016-02-04","4935","","","","","","","","","","","","","","","",""
"2016-02-05","4915","","73.4","","","","","","","","18","","","","","",""
"2016-02-12","","","73.02","","","","","","","","25","","","","","",""
"2016-02-15","4960","","","","","","","","","","","","","","","",""
"2016-02-16","4980","","","","","","","","","","","","","","","",""
"2016-02-17","4905","","","","","","","","","","","","","","","",""
"2016-02-18","4950","","","","","","","","","","","","","","","",""
"2016-02-19","5075","","73.65","","","","","","","","28.1","","","","","",""
"2016-02-22","5090","","","","","","","","","","","","","","","",""
"2016-02-23","5125","","","","","","","","","","","","","","","",""
"2016-02-24","5110","","","","","","","","","","","","","","","",""
"2016-02-25","5165","","","","","","","","","","","","","","","",""
"2016-02-26","5155","","73.65","","","","","","","","29.5","","","","","",""
"2016-02-29","5145","","","","","","","","","","","","","","","",""
"2016-03-01","5185","","","","","","","","","","","","","","","",""
"2016-03-02","5175","","","","","","","","","","","","","","","",""
"2016-03-03","5200","","","","","","","","","","","","","","","",""
"2016-03-04","5230","","71.98","","","","","","","","29.2","","","","","",""
"2016-03-07","5310","","","","","","","","","","","","","","","",""
"2016-03-08","5240","","","","","","","","","","","","","","","",""
