date,close,澳洲&巴西铁矿石：发货量：19个港口（周）,铁矿：澳大利亚产：发货量合计：19个港口：澳大利亚→中国（周）,铁矿：发货量：FMG→中国（周）,铁矿：发货量：BHP→中国（周）,铁矿：发货量：力拓→中国（周）,铁矿：发货量：巴西：淡水河谷（周）,铁矿：到港量：45个港口（周）,铁矿：船舶到港量：45个港口（周）,铁矿：出口数量合计：中国（月）,铁矿：进口数量合计：中国（月）,烧结用矿粉：出口数量合计：中国（月）,烧结用矿粉：进口数量合计：中国（月）,块矿：出口数量合计：中国（月）,块矿：进口数量合计：中国（月）,已烧结的铁矿砂及其精矿：出口数量合计：中国（月）,已烧结的铁矿砂及其精矿：进口数量合计：中国（月）,铁精粉：出口数量合计：中国（月）,铁精粉：进口数量合计：中国（月）,未烧结的铁矿砂及其精矿：出口数量合计：中国（月）,未烧结的铁矿砂及其精矿：进口数量合计：中国（月）,铁矿：进口数量初值：中国（月）,铁矿：进口数量终值：中国（月）,铁矿：出口数量：巴西→中国（月）,铁矿：出口数量：澳大利亚→中国（月）,铁矿：进口数量：中国→巴西（月）,铁矿：进口数量：中国→澳大利亚（月）,186家矿山企业（363座矿山）：产能利用率（周）,186家矿山企业（363座矿山）：铁精粉：产量（周）,铁矿：采剥掘量合计：重点企业（月）,成品铁矿石：产量：重点企业（月）,铁精矿：产量：重点企业（月）,铁矿：产量：重点企业（月）,统计局：中国：工业产品：产量：原矿（月）,铁矿：进口：日均消耗量：247家钢铁企业（周）,烧结用矿粉：进口：日均消耗量：114家钢铁企业（周）,烧结用矿粉：国产：日均消耗量：114家钢铁企业（周）,铁矿：进口：日均疏港量合计：45个港口（周）,铁矿：成交量合计：中国主要港口（日）,铁矿：现货日均成交量合计：贸易商：中国主要港口（周）,块矿：入炉比：114家钢铁企业（周）,球团：入炉比：114家钢铁企业（周）,烧结矿：进口：配比：114家钢铁企业（周）,烧结矿：入炉比：114家钢铁企业（周）,烧结矿：入炉品位：114家钢铁企业（周）,铁矿：远期现货累计成交量（日）,126家矿山企业（266座矿山）：铁精粉：库存：中国（周）,烧结用矿粉：进口：库存：114家钢铁企业（周）,铁矿：进口：库存消费比：247家钢铁企业（周）,铁矿：进口：库存：247家钢铁企业（周）,烧结用矿粉：国产：库存：64家钢厂（周）,烧结用矿粉：进口：库存消费比：64家钢厂（周）,铁矿：进口：平均可用天数：64家钢厂（周）,铁矿：进口：库存：45个港口（日）,铁精粉：库存：45个港口（周）,球团：进口：库存：45个港口（周）,块矿：库存：45个港口（周）,粗粉：进口：库存：45个港口（周）,铁矿：澳大利亚产：库存：45个港口（周）,铁矿：巴西产：库存：45个港口（周）,贸易矿：进口：库存：45个港口（周）,铁矿：进口：压港量合计：45个港口（周）,铁矿：进口：堆场容积合计：45个港口（周）,中国：铁矿：修正产量（月）
"2017-01-20","612.5","","","305.1","359.6","584.5","647.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292.2","","23.8","","","","","","","","","","","90.4","35.66","35","11951","564","219","1625","9543","6411","2531","3652","","",""
"2017-01-23","607.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-24","648.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-25","641.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-26","660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-27","","","","190.5","276.7","218.5","709.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-31","","","","","","","","","","43296.819","91828630.142","","66409360.624","","15982453.969","43296.819","2014291.336","","7422524.213","","89814338.806","9200","9200","16239294.016","53815725","","","","","7578.52","916.13","906.96","2835.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-03","611.5","","","284.8","378.8","606.2","623.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9543","","","","","",""
"2017-02-06","603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-07","625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-08","641","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-09","641","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-10","688","","","217.4","342.6","387.8","387.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","278.1","","69.5","","","","","","","","","","","83.5","28.28","26","12820","617","237","1803","10163","6883","2805","4020","","",""
"2017-02-13","712.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-14","712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-15","697.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-16","685.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-17","702","","","310.4","369.2","433.3","639.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","267.2","","72.3","","","","","","","","","","","","","","12931","638","264","1759","10270","6907","2850","4104","","",""
"2017-02-20","714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-21","732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-22","722.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-23","708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-24","698.5","","","205.3","329.9","507.1","673.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","266.7","","71.8","","","","","","","","","","","87.1","28","27","13081","676","272","1810","10323","6956","2880","4175","","",""
"2017-02-27","714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-28","690.5","","","","","","","","","23.03","83321412.721","2","60607282.217","1","13622302.373","0.03","1840754.568","20","7251073.563","23","81480658.153","8349","8349","13750237","49917880","","15","","","7424.11","918.27","885.57","2774.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-01","698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-02","694.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-03","688","","","330.7","347","598.4","384.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264.8","","69.35","","","","","","","","","","","","","","13166","707","291","1832","10336","7031","2864","4246","","",""
"2017-03-06","661","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-07","661.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-08","661.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-09","658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-10","656","","","313.9","298.3","502.6","565.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","268.6","","70.35","","","","","","","","","","","79.5","31.26","28","13129","697","283","1800","10349","7044","2842","4297","","",""
"2017-03-13","684.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-14","686.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-15","724.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-16","726.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-17","715.5","","","275.3","456.5","473.3","730.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","262.4","","68.39","","","","","","","","","","","","","","13182","732","275","1770","10405","7085","2834","4330","","",""
"2017-03-20","711.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-21","687.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-22","577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-23","580.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-24","580.5","","","316.9","295.8","394","624.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","263.2","","68.62","","","","","","","","","","","90.9","27.12","25","13363","738","274","1808","10543","7130","2958","4369","","",""
"2017-03-27","549.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-28","543","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-29","571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-30","559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-31","552","","","177.3","294.2","446.1","631.02","","","181817.587","95295935.736","140508.24","68686600.236","100","16525370.175","40389.347","1753806.647","820","8330158.678","141428.24","93542129.089","9556","9556","20486058.734","56157984","","1353","","","8453.17","958.58","925.86","2938.1","11361","","","","266.6","","71.77","","","","","","","","","","","","","","13456","758","268","1803","10627","7160","2970","4394","","","11361"
"2017-04-05","559.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-06","560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-07","525.5","","","322.9","351","444.3","379.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264.8","","68.5","","","","","","","","","","","82.3","24.86","24","13374","760","250","1691","10673","7108","2955","4331","","",""
"2017-04-10","520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-11","524.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-12","506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-13","505.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-14","507.5","","","296.2","452.5","544.8","556.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","283","","73.03","","","","","","","","","","","","","","13236","741","250","1652","10593","7009","2926","4271","","",""
"2017-04-17","493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-18","468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-19","480","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-20","488.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-21","505.5","","","311.4","402.4","425.5","687.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","269.8","","76.17","","","","","","","","","","","73.15","23.92","23","13135","727","229","1614","10565","6963","2875","4234","","",""
"2017-04-24","503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-25","498","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-26","496.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-27","506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-28","521","","","310.6","430.3","517.9","493","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275.5","","78.15","","","","","","","","","","","","","","13333","780","247","1566","10740","7016","2982","4263","","",""
"2017-04-30","","","","","","","","","","323222.942","81945196.496","294018.2","58196525.95","0","15819432.458","29184.742","1779098.678","20","6150139.41","294038.2","80166097.818","8223","8223","13035477","55953568","","0","","","9208.92","976.43","945.33","2971.04","10337.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10337.2"
"2017-05-02","533.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-03","523","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-04","485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-05","461.5","","","354.9","446.2","506.2","495","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272.4","","72.75","","","","","","","","","","","72.7","23.71","23","13606","829","246","1514","11017","7116","3054","4383","","",""
"2017-05-08","466.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-09","466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-10","474.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-11","465","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-12","450.5","","","379.8","446.1","494.3","578.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","278.3","","70.55","","","","","","","","","","","","","","13793","830","214","1539","11210","7177","3131","4436","","",""
"2017-05-15","457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-16","461","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-17","477.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-18","468.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-19","489","","","393.5","430.8","511.9","518.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","252.8","","72.3","","","","","","","","","","","75.12","24.64","23","13942","875","213","1503","11351","7201","3228","4457","","",""
"2017-05-22","494","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-23","479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-24","455.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-25","448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-26","454","","","411.6","401","424","493.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","282.3","","74.5","","","","","","","","","","","","","","14027","900","193","1447","11487","7237","3233","4445","","",""
"2017-05-31","424.5","","","","","","","","","438547.634","91283748.913","292615.526","64509455.309","2.64","16454305.541","145929.468","932890.679","0","9387097.384","292618.166","90350858.234","9152","9152","21092327.48","59922445","","2","","","8812.46","975.32","943.31","2947.31","10748.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10748.1"
"2017-06-01","420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-02","429.5","","","370.3","486.8","333.9","572.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","274.5","","75.6","","","","","","","","","","","79.72","24.25","23","14014","899","173","1419","11523","7330","3155","4547","","",""
"2017-06-05","435","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-06","432","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-07","432.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-08","423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-09","423.5","","","378","472.6","505.3","609.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280.4","","76.35","","","","","","","","","","","","","","14411","966","171","1409","11865","7507","3198","4781","","",""
"2017-06-12","434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-13","418.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-14","432","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-15","423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-16","426.5","","","354.6","429.7","322.9","712.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","276.535","","77","","","","","","","","","","","74.45","23.8","22","14236","993","173","1397","11673","7438.4","3139.9","4724.1","","",""
"2017-06-19","432.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-20","430.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-21","433.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-22","425.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-23","434","","","325.4","482.4","484.5","590.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288.81","","77.74","","","","","","","","","","","","","","14539","1030","163","1486","11860","7643.5","3211.8","4876.1","","",""
"2017-06-26","433","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-27","456.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-28","457.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
