date,close,甲醇：港口库存：中国（周）,甲醇：厂内库存：中国（周）,甲醇：社会库存：中国（周）,甲醇：传统下游厂家：采购量：中国（周）,二氯乙烷：产量：中国（月）,甲醇：采购量：中国（月）,冰醋酸：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（月）,甲醇：开工率同比：中国（月）,甲醇：原料：下游厂家：库存：中国（周）,甲醇：甲醇制烯烃法：生产企业：平均开工率：中国（周）,二甲醚：开工率：中国（周）,甲醇：产量同比：中国（日）,甲醇：待发订单：数量：中国（周）,甲醇：产量：中国（日）,甲醇：开工率：中国（日）,甲醇：签约订单：数量：中国（周）,甲醇：甲醇制烯烃法：生产企业：采购量：中国（周）,甲醛：开工率：中国（周）,甲醇：期末库存：中国（月）,三氯甲烷：产量：中国（日）,甲醇：除中国以外的生产企业：开工率：全球（日）,甲醇：到港量：中国（周）,甲醇：表观消费量环比：中国（月）,甲醇：产能同比：中国（日）,甲醇：表观消费量：中国（月）,甲醇：产能：中国（日）,甲醇：表观消费量同比：中国（月）,甲醇：产能：国外（日）,甲醛：产量：中国（月）,二氯甲烷：平均开工率：中国（周）
"2016-01-19","1776","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-20","1758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-21","1756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-22","1754","","14800","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-25","1747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-26","1749","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-27","1773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-28","1751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-29","1751","","12600","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-31","","","","","","50000","","","","","","","","","","","","","","","","","","","-9.45","","386.96","","3.2","","",""
"2016-02-01","1751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-02","1756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-03","1762","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-04","1795","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-05","1788","","11300","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-12","","","12300","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-15","1821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-16","1827","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-17","1823","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-18","1830","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-19","1855","","13600","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-22","1852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-23","1856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-24","1820","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-25","1811","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-26","1775","","13000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-29","1775","","","","","48000","","","","","","","","","","","","","","","","","","","3.29","","399.7","","","","",""
"2016-03-01","1823","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-02","1815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-03","1782","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-04","1824","","13100","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-07","1890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-08","1888","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-09","1961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-10","1920","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-11","1917","","7700","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-14","1917","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
