date,close,唐山55家调坯轧钢铁企业：螺纹钢：产能利用率（周）,唐山55家调坯轧钢铁企业：螺纹钢：产量（周）,唐山55家调坯轧钢铁企业：螺纹钢生产：需求量：钢坯（周）,唐山55家调坯轧钢铁企业：螺纹钢生产：日均需求量：钢坯（周）,螺纹钢：建筑钢材钢铁企业：产能估算覆盖率：中国（周）,螺纹钢：建筑钢材钢铁企业：产能利用率：中国（周）,螺纹钢：建筑钢材钢铁企业：产能：中国（周）,螺纹钢：建筑钢材钢铁企业：开工率：中国（周）,螺纹钢：建筑钢材钢铁企业：实际产量：中国（周）,螺纹钢：建筑钢材钢铁企业：实际开工条数：中国（周）,螺纹钢：建筑钢材钢铁企业：覆盖产能：中国（周）,螺纹钢：建筑钢材钢铁企业：产线条数：中国（周）,建筑用钢：终端市场：采购量：上海（周）,螺纹钢：消费量：中国（周）,钢筋：表观消费量：中国（月）,螺纹钢：库存：中国（周）,螺纹钢：建筑钢材钢铁企业：厂内库存：中国（周）,螺纹钢：132城市429仓库：社会库存：中国（周）,螺纹钢：社会库存：中国（旬）
"2016-04-12","2344","","","","","","","","","","","","","","","","","","",""
"2016-04-13","2353","","","","","","","","","","","","","","","","","","",""
"2016-04-14","2324","","","","","","","","","","","","","","","","","","",""
"2016-04-15","2300","","","","","","71.3","456.17","75.7","325.06","231","","305","24600","391.25","","688.49","205.22","",""
"2016-04-18","2391","","","","","","","","","","","","","","","","","","",""
"2016-04-19","2494","","","","","","","","","","","","","","","","","","",""
"2016-04-20","2592","","","","","","","","","","","","","","","","","","",""
"2016-04-21","2750","","","","","","","","","","","","","","","","","","",""
"2016-04-22","2619","","","","","","70.8","456.17","76.1","323.13","232","","305","29365","374.4","","637.22","188.8","",""
"2016-04-25","2643","","","","","","","","","","","","","","","","","","",""
"2016-04-26","2554","","","","","","","","","","","","","","","","","","",""
"2016-04-27","2500","","","","","","","","","","","","","","","","","","",""
"2016-04-28","2539","","","","","","","","","","","","","","","","","","",""
"2016-04-29","2580","","","","","","73.8","456.17","79","336.44","241","","305","23850","322.73","","650.93","222.33","",""
"2016-04-30","","","","","","","","","","","","","","","","1738.14","","","",""
"2016-05-03","2451","","","","","","","","","","","","","","","","","","",""
"2016-05-04","2381","","","","","","","","","","","","","","","","","","",""
"2016-05-05","2309","","","","","","","","","","","","","","","","","","",""
"2016-05-06","2336","","","","","","73","456.17","79","333","241","","305","15889","281.94","","701.99","262.18","",""
"2016-05-09","2175","","","","","","","","","","","","","","","","","","",""
"2016-05-10","2147","","","","","","","","","","","","","","","","","","",""
"2016-05-11","2146","","","","","","","","","","","","","","","","","","",""
"2016-05-12","2074","","","","","","","","","","","","","","","","","","",""
"2016-05-13","2030","","","","","","74.4","456.17","80","339.42","244","","305","25650","287.04","","754.37","305.18","",""
"2016-05-16","2052","","","","","","","","","","","","","","","","","","",""
"2016-05-17","2114","","","","","","","","","","","","","","","","","","",""
"2016-05-18","2055","","","","","","","","","","","","","","","","","","",""
"2016-05-19","2043","","","","","","","","","","","","","","","","","","",""
"2016-05-20","2062","","","","","","73.9","456.17","79","337","241","","305","21520","317.47","","773.9","323.3","",""
"2016-05-23","1947","","","","","","","","","","","","","","","","","","",""
"2016-05-24","1958","","","","","","","","","","","","","","","","","","",""
"2016-05-25","1916","","","","","","","","","","","","","","","","","","",""
"2016-05-26","1953","","","","","","","","","","","","","","","","","","",""
"2016-05-27","2033","","","","","","72.97","456.17","80.66","332.88","246","","305","19840","316.73","","790.05","348.65","",""
"2016-05-30","1990","","","","","","","","","","","","","","","","","","",""
"2016-05-31","1978","","","","","","","","","","","","","","","1766.49","","","",""
"2016-06-01","1955","","","","","","","","","","","","","","","","","","",""
"2016-06-02","1954","","","","","","","","","","","","","","","","","","",""
"2016-06-03","1988","","","","","","73","456.17","80.7","333.07","246","","305","22733","336.45","","786.67","356.72","",""
"2016-06-06","2059","","","","","","","","","","","","","","","","","","",""
"2016-06-07","2077","","","","","","","","","","","","","","","","","","",""
"2016-06-08","2099","","","","","","","","","","","","","","","","","","",""
"2016-06-10","","","","","","","70.67","456.17","79.67","322.38","243","","305","20800","375.67","","733.38","322.87","",""
"2016-06-13","2170","","","","","","","","","","","","","","","","","","",""
"2016-06-14","2072","","","","","","","","","","","","","","","","","","",""
"2016-06-15","2067","","","","","","","","","","","","","","","","","","",""
"2016-06-16","2074","","","","","","","","","","","","","","","","","","",""
"2016-06-17","2074","","","","","","68.4","456.17","80.7","312.05","246","","305","27250","354.14","","691.29","284.68","",""
"2016-06-20","2062","","","","","","","","","","","","","","","","","","",""
"2016-06-21","2082","","","","","","","","","","","","","","","","","","",""
"2016-06-22","2143","","","","","","","","","","","","","","","","","","",""
"2016-06-23","2141","","","","","","","","","","","","","","","","","","",""
"2016-06-24","2126","","","","","","69.8","456.17","82.3","318.22","251","","305","25105","327.25","","682.26","293.54","",""
"2016-06-27","2268","","","","","","","","","","","","","","","","","","",""
"2016-06-28","2265","","","","","","","","","","","","","","","","","","",""
"2016-06-29","2241","","","","","","","","","","","","","","","","","","",""
"2016-06-30","2337","","","","","","","","","","","","","","","1793.46","","","",""
"2016-07-01","2349","","","","","","70.7","456.17","82","322.49","250","","305","27605","341.55","","663.2","282.41","",""
"2016-07-04","2424","","","","","","","","","","","","","","","","","","",""
"2016-07-05","2402","","","","","","","","","","","","","","","","","","",""
"2016-07-06","2378","","","","","","","","","","","","","","","","","","",""
"2016-07-07","2387","","","","","","","","","","","","","","","","","","",""
"2016-07-08","2445","","","","","","70.5","456.17","81.3","321.45","248","","305","26652","347.11","","637.54","271","",""
"2016-07-11","2430","","","","","","","","","","","","","","","","","","",""
"2016-07-12","2558","","","","","","","","","","","","","","","","","","",""
"2016-07-13","2516","","","","","","","","","","","","","","","","","","",""
"2016-07-14","2524","","","","","","","","","","","","","","","","","","",""
"2016-07-15","2527","","","","","","70.6","456.17","81","322.03","247","","305","22053","342.78","","616.79","254.25","",""
"2016-07-18","2362","","","","","","","","","","","","","","","","","","",""
"2016-07-19","2297","","","","","","","","","","","","","","","","","","",""
"2016-07-20","2310","","","","","","","","","","","","","","","","","","",""
"2016-07-21","2396","","","","","","","","","","","","","","","","","","",""
"2016-07-22","2310","","","","","","70.44","456.17","80.66","321.34","246","","305","22766","279.85","","658.28","278.52","",""
"2016-07-25","2342","","","","","","","","","","","","","","","","","","",""
"2016-07-26","2379","","","","","","","","","","","","","","","","","","",""
"2016-07-27","2418","","","","","","","","","","","","","","","","","","",""
"2016-07-28","2480","","","","","","","","","","","","","","","","","","",""
"2016-07-29","2412","","","","","","70.3","456.17","81.3","320.86","248","","305","24481","305.84","","673.3","287.96","",""
"2016-07-31","","","","","","","","","","","","","","","","1745.64","","","",""
"2016-08-01","2495","","","","","","","","","","","","","","","","","","",""
"2016-08-02","2514","","","","","","","","","","","","","","","","","","",""
"2016-08-03","2497","","","","","","","","","","","","","","","","","","",""
"2016-08-04","2453","","","","","","","","","","","","","","","","","","",""
"2016-08-05","2538","","","","","","68.5","456.17","76.7","312.57","234","","305","25072","336.8","","649.07","256.31","",""
"2016-08-08","2607","","","","","","","","","","","","","","","","","","",""
"2016-08-09","2589","","","","","","","","","","","","","","","","","","",""
"2016-08-10","2587","","","","","","","","","","","","","","","","","","",""
"2016-08-11","2594","","","","","","","","","","","","","","","","","","",""
"2016-08-12","2577","","","","","","70","456.17","76.7","319.25","234","","305","21662","306.87","","661.45","262.48","",""
"2016-08-15","2571","","","","","","","","","","","","","","","","","","",""
"2016-08-16","2648","","","","","","","","","","","","","","","","","","",""
"2016-08-17","2589","","","","","","","","","","","","","","","","","","",""
"2016-08-18","2549","","","","","","","","","","","","","","","","","","",""
"2016-08-19","2567","","","","","64.56","70.8","456.17","78.7","322.9","240","23786","305","21092","309.74","","674.61","258.62","",""
