date,close,锌精矿：产量：中国（月）,锌精矿：产能利用率：中国（月）,锌精矿：港口库存：中国（周）,锌精矿：原料：库存天数：中国（周）,电解锌：产量：中国（月）,电解锌：产能利用率：中国（月）,锌锭：产量：中国（月）,有色冶炼企业：锌锭：产能利用率：中国（月）,镀锌管：锌锭消费量：中国（月）,镀锌板（带）：锌锭消费量：中国（月）,锌锭：表观消费量：中国（月）,锌：出口数量合计：中国（月）,锌：进口数量合计：中国（月）,锌锭：现货库存：中国（日）,锌：成品库存：中国（周）,锌：库存：中国（月）,锌：库存预估：中国（月）,镀锌板（带）：库存：中国（月）,镀锌板（带）：库存预估：中国（月）,SHFE：锌：期货库存（日）,SHFE：锌：交割库库存（周）,SHFE：锌：可用库容量（周）,锌合金企业：开工率：中国（月）,锌合金：产量：中国（月）,镀锌板卷：钢铁企业：产量：中国（周）,镀锌板卷：钢铁企业：产能利用率（周）,镀锌板卷：钢铁企业：产线条数（周）,镀锌板卷：钢铁企业：调研样本数（周）,镀锌板卷：钢铁企业：检修产线条数（周）,镀锌板卷：钢铁企业：开工率（周）,镀锌板（带）：产量：中国（月）,镀锌板（带）：产能利用率：中国（月）,镀锌板卷：库存：中国（周）,镀锌板卷：钢铁企业：厂内库存（周）,镀锌管：产量：中国（月）,镀锌管：产能利用率：中国（月）,镀锌管：库存：中国（月）,氧化锌企业：开工率：中国（月）
"2016-01-20","12720","","","","","","","","","","","","","","","","","","","","98382","","","","","","","","","","","","","","","","","",""
"2016-01-21","12625","","","","","","","","","","","","","","","","","","","","97265","","","","","","","","","","","","","","","","","",""
"2016-01-22","12785","","","38.56","","","","","","","","","","","","","","","","","95604","206305","499396","","","","","","","","","","","","","","","",""
"2016-01-25","12760","","","","","","","","","","","","","","35.99","","","","","","95504","","","","","","","","","","","","","","","","","",""
"2016-01-26","12795","","","","","","","","","","","","","","","","","","","","95178","","","","","","","","","","","","","","","","","",""
"2016-01-27","13095","","","","","","","","","","","","","","","","","","","","94673","","","","","","","","","","","","","","","","","",""
"2016-01-28","12980","","","","","","","","","","","","","","","","","","","","94323","","","","","","","","","","","","","","","","","",""
"2016-01-29","13080","","","36.14","","","","","","","","","","","","","","","","","94323","207096","500677","","","","","","","","","","","","","","","",""
"2016-01-31","","40.03","","","","","","","","","","","5439.416","71908.31","","","","","","","","","","60.7","","","","","","","","","","","","","","","53.7"
"2016-02-01","13140","","","","","","","","","","","","","","35.04","","","","","","97509","","","","","","","","","","","","","","","","","",""
"2016-02-02","13295","","","","","","","","","","","","","","","","","","","","99762","","","","","","","","","","","","","","","","","",""
"2016-02-03","13415","","","","","","","","","","","","","","","","","","","","104225","","","","","","","","","","","","","","","","","",""
"2016-02-04","13945","","","","","","","","","","","","","","","","","","","","108077","","","","","","","","","","","","","","","","","",""
"2016-02-05","13835","","","34.56","","","","","","","","","","","","","","","","","113145","220745","481855","","","","","","","","","","","","","","","",""
"2016-02-08","","","","","","","","","","","","","","","38.41","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-15","13815","","","","","","","","","","","","","","38.41","","","","","","116349","","","","","","","","","","","","","","","","","",""
"2016-02-16","13660","","","","","","","","","","","","","","","","","","","","116374","","","","","","","","","","","","","","","","","",""
"2016-02-17","13555","","","","","","","","","","","","","","","","","","","","116474","","","","","","","","","","","","","","","","","",""
"2016-02-18","13615","","","","","","","","","","","","","","","","","","","","116874","","","","","","","","","","","","","","","","","",""
"2016-02-19","13915","","","38.45","","","","","","","","","","","","","","","","","120346","220996","474654","","","","","","","","","","","","","","","",""
"2016-02-22","14220","","","","","","","","","","","","","","40.91","","","","","","121671","","","","","","","","","","","","","","","","","",""
"2016-02-23","14140","","","","","","","","","","","","","","","","","","","","123562","","","","","","","","","","","","","","","","","",""
"2016-02-24","13955","","","","","","","","","","","","","","","","","","","","125253","","","","","","","","","","","","","","","","","",""
"2016-02-25","14070","","","","","","","","","","","","","","","","","","","","125629","","","","","","","","","","","","","","","","","",""
"2016-02-26","13945","","","44.14","","","","","","","","","","","","","","","","","126642","246334","468358","","","","","","","","","","","","","","","",""
"2016-02-29","14050","40.03","","","","","","","","","","","2944.403","52775.02","42.58","","","","","","128137","","","24.8","","","","","","","","","","","","","","","35.8"
"2016-03-01","14100","","","","","","","","","","","","","","","","","","","","128569","","","","","","","","","","","","","","","","","",""
"2016-03-02","14310","","","","","","","","","","","","","","","","","","","","128569","","","","","","","","","","","","","","","","","",""
"2016-03-03","14420","","","","","","","","","","","","","","","","","","","","128919","","","","","","","","","","","","","","","","","",""
"2016-03-04","14480","","","42.91","","","","","","","","","","","","","","","","","137340","261120","457660","","","","","","","","","","","","","","","",""
"2016-03-07","14420","","","","","","","","","","","","","","43.56","","","","","","138810","","","","","","","","","","","","","","","","","",""
"2016-03-08","14290","","","","","","","","","","","","","","","","","","","","142052","","","","","","","","","","","","","","","","","",""
"2016-03-09","14090","","","","","","","","","","","","","","","","","","","","150409","","","","","","","","","","","","","","","","","",""
"2016-03-10","14065","","","","","","","","","","","","","","","","","","","","152166","","","","","","","","","","","","","","","","","",""
"2016-03-11","14160","","","38.47","","","","","","","","","","","","","","","","","158494","266277","436506","","","","","","","","","","","","","","","",""
"2016-03-14","14180","","","","","","","","","","","","","","42.52","","","","","","161349","","","","","","","","","","","","","","","","","",""
"2016-03-15","14060","","","","","","","","","","","","","","","","","","","","167110","","","","","","","","","","","","","","","","","",""
"2016-03-16","13970","","","","","","","","","","","","","","","","","","","","168009","","","","","","","","","","","","","","","","","",""
"2016-03-17","14170","","","","","","","","","","","","","","","","","","","","167910","","","","","","","","","","","","","","","","","",""
"2016-03-18","14405","","","37.74","","","","","","","","","","","","","","","","","167611","262877","427389","","","","","","","","","","","","","","","",""
"2016-03-21","14400","","","","","","","","","","","","","","41.545","","","","","","167562","","","","","","","","","","","","","","","","","",""
"2016-03-22","14440","","","","","","","","","","","","","","","","","","","","168910","","","","","","","","","","","","","","","","","",""
"2016-03-23","14385","","","","","","","","","","","","","","","","","","","","169010","","","","","","","","","","","","","","","","","",""
"2016-03-24","14200","","","","","","","","","","","","","","","","","","","","169233","","","","","","","","","","","","","","","","","",""
"2016-03-25","14250","","","34.51","","","","","","","","","","","","","","","","","168781","274320","426219","","","","","","","","","","","","","","","",""
"2016-03-28","14205","","","","","","","","","","","","","","41.8","","","","","","171191","","","","","","","","","","","","","","","","","",""
"2016-03-29","14135","","","","","","","","","","","","","","","","","","","","171191","","","","","","","","","","","","","","","","","",""
"2016-03-30","14120","","","","","","","","","","","","","","","","","","","","170939","","","","","","","","","","","","","","","","","",""
"2016-03-31","14115","41.91","","","","","","","","","","","7691.607","88096.673","","","","","","","170760","","","62.4","","","","","","","","","","","","","","","55.8"
"2016-04-01","14395","","","28.69","","","","","","","","","","","","","","","","","170537","270764","424463","","","","","","","","","","","","","","","",""
"2016-04-04","","","","","","","","","","","","","","","40.99","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-05","14460","","","","","","","","","","","","","","","","","","","","170409","","","","","","","","","","","","","","","","","",""
"2016-04-06","14240","","","","","","","","","","","","","","","","","","","","171372","","","","","","","","","","","","","","","","","",""
"2016-04-07","14185","","","","","","","","","","","","","","","","","","","","174566","","","","","","","","","","","","","","","","","",""
"2016-04-08","13955","","","28.03","","","","","","","","","","","","","","","","","175429","268793","419571","","","","","","","","","","","","","","","",""
"2016-04-11","14055","","","","","","","","","","","","","","38.79","","","","","","175081","","","","","","","","","","","","","","","","","",""
"2016-04-12","14115","","","","","","","","","","","","","","","","","","","","174932","","","","","","","","","","","","","","","","","",""
"2016-04-13","14775","","","","","","","","","","","","","","","","","","","","176479","","","","","","","","","","","","","","","","","",""
"2016-04-14","14865","","","","","","","","","","","","","","","","","","","","176657","","","","","","","","","","","","","","","","","",""
"2016-04-15","14925","","","25.27","","","","","","","","","","","","","","","","","179613","","","","","","","","","","","","","","","","","",""
"2016-04-18","14990","","","","","","","","","","","","","","37.68","","","","","","179261","","","","","","","","","","","","","","","","","",""
"2016-04-19","15140","","","","","","","","","","","","","","","","","","","","179159","","","","","","","","","","","","","","","","","",""
"2016-04-20","15130","","","","","","","","","","","","","","","","","","","","178807","","","","","","","","","","","","","","","","","",""
"2016-04-21","15325","","","","","","","","","","","","","","","","","","","","177539","","","","","","","","","","","","","","","","","",""
"2016-04-22","15050","","","21.71","","","","","","","","","","","","","","","","","175919","267347","424081","","","","","","","","","","","","","","","",""
"2016-04-25","15120","","","","","","","","","","","","","","35.76","","","","","","172775","","","","","","","","","","","","","","","","","",""
"2016-04-26","14790","","","","","","","","","","","","","","","","","","","","170941","","","","","","","","","","","","","","","","","",""
"2016-04-27","14925","","","","","","","","","","","","","","","","","","","","173156","","","","","","","","","","","","","","","","","",""
"2016-04-28","14900","","","","","","","","","","","","","","","","","","","","172227","","","","","","","","","","","","","","","","","",""
"2016-04-29","15290","","","19.18","","","","","","","","","","","","","","","","","169201","259549","430799","","","","","","","","","","","","","","","",""
"2016-04-30","","39.4","","","","","","","","","","","7142.832","48344.9","","","","","","","","","","68.8","","","","","","","","","","","","","","","62"
"2016-05-02","","","","","","","","","","","","","","","34.75","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-03","15295","","","","","","","","","","","","","","","","","","","","168848","","","","","","","","","","","","","","","","","",""
"2016-05-04","14880","","","","","","","","","","","","","","","","","","","","168823","","","","","","","","","","","","","","","","","",""
"2016-05-05","14900","","","","","","","","","","","","","","","","","","","","168674","","","","","","","","","","","","","","","","","",""
"2016-05-06","14865","","","17.26","","","","","","","","","","","","","","","","","167451","254278","432549","","","","","","","","","","","","","","","",""
"2016-05-09","14745","","","","","","","","","","","","","","33.16","","","","","","166138","","","","","","","","","","","","","","","","","",""
"2016-05-10","14715","","","","","","","","","","","","","","","","","","","","165462","","","","","","","","","","","","","","","","","",""
"2016-05-11","14905","","","","","","","","","","","","","","","","","","","","162024","","","","","","","","","","","","","","","","","",""
"2016-05-12","15180","","","","","","","","","","","","","","","","","","","","160437","","","","","","","","","","","","","","","","","",""
"2016-05-13","15020","","","14.84","","","","","","","","","","","","","","","","","160038","251833","439962","","","","","","","","","","","","","","","",""
"2016-05-16","15105","","","","","","","","","","","","","","33.73","","","","","","160285","","","","","","","","","","","","","","","","","",""
"2016-05-17","15190","","","","","","","","","","","","","","","","","","","","160135","","","","","","","","","","","","","","","","","",""
"2016-05-18","15005","","","","","","","","","","","","","","","","","","","","159389","","","","","","","","","","","","","","","","","",""
"2016-05-19","14945","","","","","","","","","","","","","","","","","","","","155933","","","","","","","","","","","","","","","","","",""
"2016-05-20","15010","","","11.96","","","","","","","","","","","","","","","","","154383","248552","445617","","","","","","","","","","","","","","","",""
"2016-05-23","14825","","","","","","","","","","","","","","32.96","","","","","","152734","","","","","","","","","","","","","","","","","",""
"2016-05-24","14465","","","","","","","","","","","","","","","","","","","","147784","","","","","","","","","","","","","","","","","",""
"2016-05-25","14525","","","","","","","","","","","","","","","","","","","","141325","","","","","","","","","","","","","","","","","",""
"2016-05-26","14920","","","","","","","","","","","","","","","","","","","","135802","","","","","","","","","","","","","","","","","",""
"2016-05-27","15005","","","17.02","","","","","","","","","","","","","","","","","134299","230557","465701","","","","","","","","","","","","","","","",""
"2016-05-30","15045","","","","","","","","","","","","","","31.38","","","","","","133099","","","","","","","","","","","","","","","","","",""
"2016-05-31","15095","42.57","","","","","","","","","","","6608.075","47514.937","","","","","","","132624","","","65.6","","","","","","","","","","","","","","","62.3"
"2016-06-01","14940","","","","","","","","","","","","","","","","","","","","132250","","","","","","","","","","","","","","","","","",""
"2016-06-02","15580","","","","","","","","","","","","","","","","","","","","129391","","","","","","","","","","","","","","","","","",""
"2016-06-03","15590","","","19.53","","","","","","","","","","","","","","","","","129192","223719","470808","","","","","","","","","","","","","","","",""
"2016-06-06","15750","","","","","","","","","","","","","","29.19","","","","","","128045","","","","","","","","","","","","","","","","","",""
"2016-06-07","15755","","","","","","","","","","","","","","","","","","","","127754","","","","","","","","","","","","","","","","","",""
"2016-06-08","15625","","","","","","","","","","","","","","","","","","","","126983","","","","","","","","","","","","","","","","","",""
"2016-06-10","","","","15.07","","","","","","","","","","","","","","","","","","223134","473017","","","","","","","","","","","","","","","",""
"2016-06-13","15860","","","","","","","","","","","","","","30.25","","","","","","127773","","","","","","","","","","","","","","","","","",""
"2016-06-14","15705","","","","","","","","","","","","","","","","","","","","127649","","","","","","","","","","","","","","","","","",""
"2016-06-15","15725","","","","","","","","","","","","","","","","","","","","128130","","","","","","","","","","","","","","","","","",""
"2016-06-16","15595","","","","","","","","","","","","","","","","","","","","125493","","","","","","","","","","","","","","","","","",""
"2016-06-17","15645","","","11.32","","","","","","","","","","","","","","","","","124280","218317","475720","","","","","","","","","","","","","","","",""
"2016-06-20","15590","","","","","","","","","","","","","","29.94","","","","","","121100","","","","","","","","","","","","","","","","","",""
"2016-06-21","15655","","","","","","","","","","","","","","","","","","","","117663","","","","","","","","","","","","","","","","","",""
"2016-06-22","15770","","","","","","","","","","","","","","","","","","","","115110","","","","","","","","","","","","","","","","","",""
"2016-06-23","15790","","","","","","","","","","","","","","","","","","","","113086","","","","","","","","","","","","","","","","","",""
"2016-06-24","15495","","","8.53","20","","","","","","","","","","","","","","","","111530","215305","488470","","","","","","","","","","","","","","","",""
"2016-06-27","15685","","","","","","","","","","","","","","29.74","","","","","","110857","","","","","","","","","","","","","","","","","",""
"2016-06-28","15900","","","","","","","","","","","","","","","","","","","","110056","","","","","","","","","","","","","","","","","",""
"2016-06-29","16210","","","","","","","","","","","","","","","","","","","","113016","","","","","","","","","","","","","","","","","",""
"2016-06-30","16410","46.79","","","","","","","","","","","7207.625","42920.355","","","","","","","112866","","","65.6","","","","","","","","","","","","","","","61.2"
"2016-07-01","16485","","","7.97","20","","","","","","","","","","","","","","","","115848","206094","484152","","","","","","","","","","","","","","","",""
"2016-07-04","16755","","","","","","","","","","","","","","30.29","","","","","","115951","","","","","","","","","","","","","","","","","",""
"2016-07-05","16450","","","","","","","","","","","","","","","","","","","","115984","","","","","","","","","","","","","","","","","",""
"2016-07-06","16420","","","","","","","","","","","","","","","","","","","","115438","","","","","","","","","","","","","","","","","",""
"2016-07-07","16395","","","","","","","","","","","","","","","","","","","","115039","","","","","","","","","","","","","","","","","",""
"2016-07-08","16465","","","8.62","20","","","","","","","","","","","","","","","","116371","206722","483629","","","83.45","69.37","266","130","19","92.86","","","","61.91","","","",""
"2016-07-11","16805","","","","","","","","","","","","","","29.87","","","","","","116297","","","","","","","","","","","","","","","","","",""
"2016-07-12","16770","","","","","","","","","","","","","","","","","","","","117436","","","","","","","","","","","","","","","","","",""
"2016-07-13","16905","","","","","","","","","","","","","","","","","","","","123097","","","","","","","","","","","","","","","","","",""
"2016-07-14","16990","","","","","","","","","","","","","","","","","","","","123802","","","","","","","","","","","","","","","","","",""
"2016-07-15","17055","","","8.91","20","","","","","","","","","","","","","","","","124709","202800","475291","","","83.58","69.48","266","130","11","95.86","","","","60.94","","","",""
"2016-07-18","16940","","","","","","","","","","","","","","30.19","","","","","","126437","","","","","","","","","","","","","","","","","",""
"2016-07-19","17290","","","","","","","","","","","","","","","","","","","","125789","","","","","","","","","","","","","","","","","",""
"2016-07-20","17205","","","","","","","","","","","","","","","","","","","","126287","","","","","","","","","","","","","","","","","",""
"2016-07-21","17380","","","","","","","","","","","","","","","","","","","","126737","","","","","","","","","","","","","","","","","",""
"2016-07-22","17285","","","9.1","19","","","","","","","","","","","","","","","","126092","211129","493908","","","83.07","69.06","266","130","18","93.23","","","","58.53","","","",""
"2016-07-25","17425","","","","","","","","","","","","","","29.46","","","","","","125744","","","","","","","","","","","","","","","","","",""
"2016-07-26","17165","","","","","","","","","","","","","","","","","","","","125745","","","","","","","","","","","","","","","","","",""
"2016-07-27","17015","","","","","","","","","","","","","","","","","","","","127771","","","","","","","","","","","","","","","","","",""
"2016-07-28","16880","","","","","","","","","","","","","","","","","","","","127120","","","","","","","","","","","","","","","","","",""
"2016-07-29","16870","","","8.32","20","","","","","","","","","","","","","","","","125341","205488","494659","","","84.46","70.21","266","130","15","94.36","","","","55.91","","","",""
"2016-07-31","","40.53","","","","","","","","","","","6397.009","26869.642","","","","","","","","","","55.18","","","","","","","","","","","","","","","60.9"
"2016-08-01","17365","","","","","","","","","","","","","","28.93","","","","","","124720","","","","","","","","","","","","","","","","","",""
"2016-08-02","17365","","","","","","","","","","","","","","","","","","","","124671","","","","","","","","","","","","","","","","","",""
"2016-08-03","17320","","","","","","","","","","","","","","","","","","","","123599","","","","","","","","","","","","","","","","","",""
"2016-08-04","17310","","","","","","","","","","","","","","","","","","","","123850","","","","","","","","","","","","","","","","","",""
"2016-08-05","17435","","","7.42","20","","","","","","","","","","","","","","","","126680","202960","493320","","","84","69.83","266","130","14","94.74","","","","55.92","","","",""
"2016-08-08","17535","","","","","","","","","","","","","","27.83","","","","","","127018","","","","","","","","","","","","","","","","","",""
"2016-08-09","17325","","","","","","","","","","","","","","","","","","","","126794","","","","","","","","","","","","","","","","","",""
"2016-08-10","17790","","","","","","","","","","","","","","","","","","","","124724","","","","","","","","","","","","","","","","","",""
"2016-08-11","17655","","","","","","","","","","","","","","","","","","","","124473","","","","","","","","","","","","","","","","","",""
"2016-08-12","17495","","","7.18","19","","","","","","","","","","","","","","","","123925","197299","496075","","","85.61","71.17","266","130","11","95.86","","","","54.93","","","",""
"2016-08-15","17115","","","","","","","","","","","","","","27.42","","","","","","125731","","","","","","","","","","","","","","","","","",""
"2016-08-16","17335","","","","","","","","","","","","","","","","","","","","124261","","","","","","","","","","","","","","","","","",""
"2016-08-17","17250","","","","","","","","","","","","","","","","","","","","123168","","","","","","","","","","","","","","","","","",""
"2016-08-18","17550","","","","","","","","","","","","","","","","","","","","121692","","","","","","","","","","","","","","","","","",""
"2016-08-19","17505","","","6.69","19","","","","","","","","","","","","","","","","121120","194144","498880","","","84.79","70.49","266","130","11","95.86","","","","54.78","","","",""
"2016-08-22","17385","","","","","","","","","","","","","","26.89","","","","","","118048","","","","","","","","","","","","","","","","","",""
