date,close,菜粕：产量：中国（周）,主要油厂：菜粕：库存：中国（周）,菜粕：沿海油厂：提货量：中国（月）,菜粕：颗粒：消费量：南通（周）
"2016-06-29","2818","","","",""
"2016-06-30","2889","","","",""
"2016-07-01","2908","3.78","5.59","",""
"2016-07-04","2930","","","",""
"2016-07-05","2814","","","",""
"2016-07-06","2724","","","",""
"2016-07-07","2630","","","",""
"2016-07-08","2528","4.25","5.69","",""
"2016-07-11","2540","","","",""
"2016-07-12","2579","","","",""
"2016-07-13","2688","","","",""
"2016-07-14","2702","","","",""
"2016-07-15","2578","2.67","4.83","",""
"2016-07-18","2538","","","",""
"2016-07-19","2589","","","",""
"2016-07-20","2517","","","",""
"2016-07-21","2554","","","",""
"2016-07-22","2450","2.52","3.69","",""
"2016-07-25","2458","","","",""
"2016-07-26","2485","","","",""
"2016-07-27","2492","","","",""
"2016-07-28","2492","","","",""
"2016-07-29","2474","3.91","3.23","",""
"2016-08-01","2509","","","",""
"2016-08-02","2466","","","",""
"2016-08-03","2469","","","",""
"2016-08-04","2453","","","",""
"2016-08-05","2502","4.18","3.12","",""
"2016-08-08","2357","","","",""
"2016-08-09","2384","","","",""
"2016-08-10","2442","","","",""
"2016-08-11","2408","","","",""
"2016-08-12","2390","4.12","5.45","",""
"2016-08-15","2431","","","",""
"2016-08-16","2419","","","",""
"2016-08-17","2412","","","",""
"2016-08-18","2359","","","",""
"2016-08-19","2309","5.03","4.26","",""
"2016-08-22","2325","","","",""
"2016-08-23","2312","","","",""
"2016-08-24","2278","","","",""
"2016-08-25","2319","","","",""
"2016-08-26","2294","4.21","3.54","",""
"2016-08-29","2280","","","",""
"2016-08-30","2268","","","",""
"2016-08-31","2236","","","",""
"2016-09-01","2214","","","",""
"2016-09-02","2213","4.34","3.3","",""
"2016-09-05","2185","","","",""
"2016-09-06","2223","","","",""
"2016-09-07","2266","","","",""
"2016-09-08","2273","","","",""
"2016-09-09","2262","4.59","1.56","",""
"2016-09-12","2270","","","",""
"2016-09-13","2258","","","",""
"2016-09-14","2221","","","",""
"2016-09-16","","5.31","1.59","",""
"2016-09-19","2290","","","",""
"2016-09-20","2305","","","",""
"2016-09-21","2308","","","",""
"2016-09-22","2276","","","",""
"2016-09-23","2241","4.04","1.34","",""
"2016-09-26","2223","","","",""
"2016-09-27","2200","","","",""
"2016-09-28","2203","","","",""
"2016-09-29","2214","","","",""
"2016-09-30","2171","3.85","1.78","",""
"2016-10-07","","1.92","1.35","",""
"2016-10-10","2148","","","",""
"2016-10-11","2170","","","",""
"2016-10-12","2144","","","",""
"2016-10-13","2135","","","",""
"2016-10-14","2174","3.12","0.72","",""
"2016-10-17","2219","","","",""
"2016-10-18","2228","","","",""
"2016-10-19","2195","","","",""
"2016-10-20","2253","","","",""
"2016-10-21","2266","3.83","1.57","",""
