Year,Maximum Drawdown,win_ratio,win_loss_ratio,avg_hold_days,Annualized Return,Annualized Volatility,Sharpe Ratio
2020,-0.067,1.0,No loss,29.0,0.877,0.221,3.976
2021,-0.101,0.778,2.0855147409369432,24.556,0.786,0.274,2.874
